epoch,train_loss,train_hav_km,val_loss,val_hav_km,teacher_ratio,lr
1,0.054007,5.4605,0.002768,1.7957,0.6533,0.00029918
2,0.040672,4.494,0.002939,2.3571,0.6067,0.00029672
3,0.041304,4.0348,0.002916,1.282,0.56,0.00029266
4,0.041146,3.572,0.003619,1.3827,0.5133,0.00028703
5,0.039887,3.3665,0.003673,1.6417,0.4667,0.0002799
6,0.041296,3.3178,0.003355,2.5879,0.42,0.00027135
7,0.042665,3.2465,0.00333,1.2491,0.3733,0.00026147
8,0.042904,3.2014,0.002935,1.122,0.3267,0.00025037
9,0.042458,3.1294,0.003365,1.4416,0.28,0.00023817
10,0.043647,3.0896,0.002877,1.3264,0.2333,0.000225
11,0.043828,3.0662,0.002936,1.1125,0.1867,0.00021101
12,0.044452,3.0281,0.002986,1.4173,0.14,0.00019635
13,0.04459,2.9869,0.002819,1.3044,0.0933,0.00018119
14,0.044448,2.9554,0.00303,1.1583,0.0467,0.00016568
15,0.045368,2.941,0.002813,1.3391,0.0,0.00015
16,0.044624,2.8874,0.003079,1.3892,0.0,0.00013432
17,0.044064,2.865,0.00269,1.1064,0.0,0.00011881
18,0.043921,2.8244,0.002837,1.322,0.0,0.00010365
19,0.042801,2.785,0.002989,1.1253,0.0,8.899e-05
20,0.042553,2.7501,0.002994,1.0942,0.0,7.5e-05
21,0.042171,2.722,0.002855,1.2511,0.0,6.183e-05
22,0.041011,2.7017,0.003049,1.1397,0.0,4.963e-05
23,0.040482,2.6861,0.00298,1.1456,0.0,3.853e-05
24,0.039595,2.6531,0.002968,1.1446,0.0,2.865e-05
25,0.039133,2.6543,0.002951,1.0783,0.0,2.01e-05
26,0.038782,2.6347,0.003069,1.1851,0.0,1.297e-05
27,0.038242,2.619,0.003059,1.139,0.0,7.34e-06
28,0.037828,2.6062,0.003055,1.1654,0.0,3.28e-06
29,0.03812,2.6053,0.00309,1.1777,0.0,8.2e-07
30,0.037894,2.6045,0.003083,1.1457,0.0,0.0
