epoch,phase,train_loss,train_acc,train_prec,train_rec,train_f1,train_auc,val_loss,val_acc,val_prec,val_rec,val_f1,val_auc,lr_head
1,A-warmup,0.232838,0.615854,0.582818,0.81393,0.679253,0.685931,0.240456,0.660355,0.0,0.0,0.0,0.633064,9.755e-05
2,A-warmup,0.195386,0.682419,0.636717,0.838198,0.723696,0.794766,0.276764,0.613018,0.292929,0.101399,0.150649,0.406542,9.045e-05
3,A-warmup,0.18108,0.726372,0.677833,0.846154,0.752698,0.829573,0.292235,0.398817,0.305263,0.608392,0.406542,0.477254,7.939e-05
4,A-warmup,0.173178,0.744665,0.697741,0.863313,0.771747,0.849218,0.320143,0.390533,0.311367,0.660839,0.423292,0.491859,6.545e-05
5,A-warmup,0.168608,0.753557,0.706522,0.863126,0.777011,0.856718,0.22902,0.539645,0.416801,0.902098,0.570166,0.673571,5e-05
6,B-finetune,0.160803,0.767022,0.725678,0.86987,0.791259,0.871525,0.243142,0.518343,0.402262,0.870629,0.550276,0.660592,3.455e-05
7,B-finetune,0.14937,0.787602,0.740329,0.868545,0.799328,0.891574,0.203741,0.660355,0.498845,0.755245,0.600834,0.750163,2.061e-05
8,B-finetune,0.146692,0.796748,0.758933,0.862725,0.807507,0.896007,0.156294,0.763314,0.616848,0.793706,0.69419,0.869119,9.55e-06
9,B-finetune,0.138877,0.822663,0.784314,0.891591,0.834519,0.909534,0.145771,0.769231,0.609639,0.884615,0.721826,0.903527,2.45e-06
10,B-finetune,0.144089,0.810976,0.783019,0.86976,0.824113,0.900384,0.135568,0.794083,0.637931,0.905594,0.748555,0.919596,0.0001
11,B-finetune,0.141024,0.809451,0.7659,0.880249,0.819103,0.905801,0.136015,0.813018,0.668421,0.888112,0.762763,0.915118,9.755e-05
12,B-finetune,0.120866,0.848831,0.82118,0.893832,0.855967,0.932715,0.144519,0.791716,0.631579,0.923077,0.75,0.925025,9.045e-05
13,B-finetune,0.115913,0.862297,0.833485,0.912351,0.871136,0.940259,0.120114,0.84142,0.712291,0.891608,0.791925,0.931743,7.939e-05
14,B-finetune,0.110268,0.862805,0.840376,0.899497,0.868932,0.944939,0.118476,0.83432,0.692105,0.91958,0.78979,0.943978,6.545e-05
15,B-finetune,0.104913,0.872459,0.847361,0.907794,0.876537,0.951175,0.11311,0.865089,0.741573,0.923077,0.82243,0.947618,5e-05
16,B-finetune,0.096378,0.894055,0.875954,0.921224,0.898019,0.958734,0.111821,0.874556,0.758621,0.923077,0.832808,0.947346,3.455e-05
17,B-finetune,0.092993,0.89126,0.867014,0.92572,0.895406,0.961456,0.096597,0.887574,0.778426,0.933566,0.848967,0.960203,2.061e-05
18,B-finetune,0.09585,0.891006,0.867676,0.918346,0.892292,0.960274,0.102907,0.888757,0.785714,0.923077,0.848875,0.95493,9.55e-06
19,B-finetune,0.093461,0.88313,0.857211,0.916966,0.886082,0.961555,0.103411,0.888757,0.77907,0.937063,0.850794,0.956663,2.45e-06
20,B-finetune,0.087449,0.89685,0.884337,0.917041,0.900393,0.966321,0.095329,0.892308,0.789318,0.93007,0.853933,0.961573,0.0001
21,B-finetune,0.092568,0.897612,0.875369,0.922159,0.898155,0.963147,0.1029,0.885207,0.794393,0.891608,0.840198,0.948775,9.755e-05
22,B-finetune,0.087284,0.907774,0.892537,0.924266,0.908125,0.967734,0.10036,0.900592,0.827922,0.891608,0.858586,0.955274,9.045e-05
23,B-finetune,0.085801,0.911839,0.898586,0.929869,0.91396,0.969551,0.100678,0.894675,0.81877,0.884615,0.85042,0.95433,7.939e-05
24,B-finetune,0.083296,0.908537,0.894504,0.926321,0.910135,0.970897,0.087063,0.92426,0.87,0.912587,0.890785,0.964588,6.545e-05
25,B-finetune,0.072186,0.923526,0.911335,0.935367,0.923195,0.977551,0.095212,0.898225,0.8125,0.909091,0.858086,0.960947,5e-05
26,B-finetune,0.067178,0.924797,0.908506,0.943018,0.925441,0.980506,0.097744,0.889941,0.78979,0.91958,0.849758,0.963481,3.455e-05
27,B-finetune,0.072699,0.922002,0.916266,0.934708,0.925395,0.977972,0.10397,0.880473,0.769679,0.923077,0.839428,0.959302,2.061e-05
28,B-finetune,0.070468,0.932419,0.923573,0.943234,0.9333,0.979451,0.08898,0.912426,0.833333,0.926573,0.877483,0.967797,9.55e-06
29,B-finetune,0.069675,0.931148,0.91608,0.94603,0.930814,0.979824,0.084568,0.92071,0.84326,0.940559,0.889256,0.971568,2.45e-06
30,B-finetune,0.067933,0.930132,0.923457,0.939698,0.931507,0.980495,0.081925,0.927811,0.859425,0.940559,0.898164,0.972688,0.0001
31,B-finetune,0.061851,0.938262,0.931085,0.949178,0.940044,0.98378,0.086991,0.91716,0.839623,0.933566,0.884106,0.968622,9.755e-05
32,B-finetune,0.068289,0.933689,0.916286,0.949527,0.93261,0.980855,0.088736,0.913609,0.84918,0.905594,0.876481,0.96562,9.045e-05
33,B-finetune,0.058326,0.945884,0.946673,0.945233,0.945953,0.986201,0.081653,0.930178,0.869707,0.933566,0.900506,0.972782,7.939e-05
34,B-finetune,0.062795,0.940041,0.926975,0.954476,0.940524,0.983988,0.079802,0.928994,0.866883,0.933566,0.89899,0.973476,6.545e-05
35,B-finetune,0.055221,0.943089,0.932379,0.955972,0.944028,0.987087,0.08034,0.933728,0.883333,0.926573,0.904437,0.973676,5e-05
36,B-finetune,0.053244,0.950711,0.943452,0.959637,0.951476,0.987889,0.080252,0.936095,0.881579,0.937063,0.908475,0.974608,3.455e-05
37,B-finetune,0.052051,0.948933,0.942495,0.95885,0.950602,0.988557,0.082407,0.927811,0.861736,0.937063,0.897822,0.976566,2.061e-05
38,B-finetune,0.055456,0.95376,0.951772,0.958375,0.955062,0.987585,0.078041,0.938462,0.877419,0.951049,0.912752,0.978711,9.55e-06
